# SHEtoken Women's Rights Business Compliance Score — Countries 2025
# RATING:  PREFERRED ✅ | ACCEPTABLE 🟢 | CAUTION 🟡 | AVOID 🔴 | EMBARGO ⛔
# Composite = WEI(40%) + SVI(25%) + GPI(20%) + (100-WADI)(15%)
# USE: Before signing any outsourcing, manufacturing, or service contract
# Legal basis: UNGP, EU CS3D, UK Modern Slavery Act, US TVPA
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,composite_score,rating,rating_headline,wei_score,gpi_score,svi_score,wadi_score,main_outsourcing_sectors,key_risk,required_actions,ngo_partners_to_fund,year
1,Iceland,ISL,Europe,88.0,PREFERRED,Actively prioritise for outsourcing and investment,93,91,81,18,"Tech, finance, creative",None significant,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,UN Women Iceland,2025
2,Norway,NOR,Europe,86.8,PREFERRED,Actively prioritise for outsourcing and investment,92,90,81,22,"Oil & gas services, tech, maritime",None significant,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,Plan International Norway,2025
3,Sweden,SWE,Europe,85.8,PREFERRED,Actively prioritise for outsourcing and investment,91,91,79,24,"Tech, manufacturing, design, finance",Gender pay gap still 7%,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,UN Women Sweden,2025
4,Germany,DEU,Europe,78.8,PREFERRED,Actively prioritise for outsourcing and investment,84,85,73,34,"Manufacturing, engineering, tech, automotive",East-West wage gap. Admin automation risk.,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,Terre des Femmes,2025
5,Canada,CAN,N. America,77.1,PREFERRED,Actively prioritise for outsourcing and investment,82,85,67,30,"Tech, finance, healthcare, creative",Indigenous women face compounded risk — audit needed for remote ops,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,Native Women's Association of Canada,2025
6,Australia,AUS,Oceania,76.5,PREFERRED,Actively prioritise for outsourcing and investment,81,82,70,32,"Tech, mining services, financial services",Indigenous women vulnerability — disclose in Modern Slavery statement,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,Our Watch Australia,2025
7,UK,GBR,Europe,74.2,ACCEPTABLE,Acceptable with standard due diligence,80,78,68,36,"Finance, tech, creative, professional services",Gender pay gap reporting law exists but enforcement weak,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,Fawcett Society,2025
8,South Korea,KOR,East Asia,69.0,ACCEPTABLE,Acceptable with standard due diligence,74,74,61,38,"Electronics, automotive, shipbuilding, K-industry",High gender wage gap 30%. Women in textiles face automation.,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,Korean Women's Development Institute,2025
9,Japan,JPN,East Asia,67.1,ACCEPTABLE,Acceptable with standard due diligence,76,77,48,38,"Manufacturing, tech, automotive, electronics",Women in admin face high automation risk. 'Shufu' system limits careers.,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,Japan Women's Network for Policy Change,2025
10,Brazil,BRA,S. America,57.7,ACCEPTABLE,Acceptable with standard due diligence,62,62,51,48,"Agriculture, mining, manufacturing, IT services",Femicide rate high. Domestic workers (5.7M women) largely unprotected.,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,"Agencia Patricia Galvao, CEPIA",2025
