# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-10T10:56:55.596375+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,state,state_code,ticker,region,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,previous_wei_score,change,hot,verified,update_frequency,wei_version,year,key_programs,notes,wei_score_baseline,signal_count_this_week,wei_data_type
1,Kerala,KL,SHE-KL,South,35.0,78,94,62,88,82,74,78,72,18,76.8,74.7,2.1,true,false,quarterly,3.0,2025,"Kudumbashree (1998) — 46 lakh members, Asia's largest women's SHG. Strong menstrual hygiene in schools. Low child marriage (5%).",Highest female literacy (95.2%). Kudumbashree integrated with half of Kerala families for 25 years. Strong reproductive rights legal framework. Lowest child marriage rate in India.,76.8,0,baseline
2,Goa,GA,SHE-GA,West,1.5,64,90,58,86,72,68,72,74,20,70.6,70.1,0.5,false,false,annual,3.0,2025,Goa Mahila Aarthik Vikas Mahamandal microfinance. Strong state domestic violence law enforcement.,Highest HDI in India. Strong female literacy and health. Low child marriage (8%). Good internet access.,70.6,0,baseline
3,Tamil Nadu,TN,SHE-TN,South,77.8,68,88,58,82,68,64,66,65,24,67.4,66.2,1.2,false,false,annual,3.0,2025,TN Corporation for Development of Women. Uzhavar Sandhai women vendors. Strong ICDS nutrition program.,Strong panchayat reservation. Above-average female literacy at 73.9%. Good menstrual hygiene policy. Moderate child marriage (18%).,67.4,0,baseline
4,Mizoram,MZ,SHE-MZ,Northeast,1.3,58,90,50,80,72,64,68,60,14,66.3,65.7,0.6,false,false,annual,3.0,2025,Mizoram Women's Commission. Young Mizo Association women's wing. State menstrual hygiene management policy.,Highest female literacy in Northeast (89.4%). Low child marriage (6%). Strong menstrual hygiene policy. Good safety record.,66.3,0,baseline
5,Meghalaya,ML,SHE-ML,Northeast,3.4,60,82,52,76,70,62,68,58,18,64.2,63.3,0.9,false,false,annual,3.0,2025,Meghalaya Livelihoods and Access to Markets (MLAM) women SHGs. Khasi matrilineal land inheritance.,Matrilineal society (Khasi and Jaintia tribes) — women own property and pass family name. One of India's most gender-equal cultures. Low child marriage (8%). Strong widow property rights.,64.2,0,baseline
6,Himachal Pradesh,HP,SHE-HP,North,7.5,58,86,50,80,64,62,66,62,22,63.5,63.1,0.4,false,false,annual,3.0,2025,HP State Women's Commission. Women-led MGNREGA groups. Strong ICDS nutrition coverage.,High female literacy (76.6%). Low child marriage (9%). Good menstrual hygiene in schools (hill state initiatives). Strong panchayat women's representation.,63.5,0,baseline
7,Telangana,TS,SHE-TS,South,37.4,62,78,52,76,60,58,60,62,30,60.3,60.0,0.3,false,false,annual,3.0,2025,Stree Nidhi Credit Cooperative. Mission Bhagiratha women SHGs. KCR Kits maternal health program.,Strong SHG movement. Good maternal health outcomes. Child marriage (24%) declining.,60.3,0,baseline
8,Karnataka,KA,SHE-KA,South,67.6,60,78,54,76,60,58,60,62,32,60.1,59.8,0.3,false,false,annual,3.0,2025,Stree Shakti SHG program. Karnataka Mahila Abhivrudhi Yojana. Beti Bachao strong urban implementation.,Good digital access in Bengaluru. Moderate child marriage (21%). Strong women's enterprise ecosystem.,60.1,0,baseline
9,Manipur,MN,SHE-MN,Northeast,3.2,56,80,52,72,64,58,62,54,24,59.8,59.0,0.8,false,false,annual,3.0,2025,Ima Keithel (Mothers' Market) — world's largest all-women market. Meira Paibi women's vigilance movement.,Unique matrilineal trading traditions. Ima Keithel in Imphal is extraordinary example of women's economic autonomy. Relatively low child marriage (12%).,59.8,0,baseline
10,Andhra Pradesh,AP,SHE-AP,South,53.9,60,76,54,74,58,56.0,60,60,28,59.2,59.2,0.3,false,false,annual,3.0,2025,SERP / Velugu IKP SHG program — pioneered SHG-bank linkage. YSR Aarogyasri women's health scheme.,Pioneered SHG model scaled nationally as NRLM. Moderate child marriage (26%).,59.5,1,live_signal
11,Uttarakhand,UK,SHE-UK,North,11.3,54,82,46,76,60,58,62,56,26,58.9,58.6,0.3,false,false,annual,3.0,2025,Mahila Mangal Dal forest groups. Van Panchayats women leaders. Uttarakhand Women Welfare Society.,Women lead forest governance. Above-average literacy. Low child marriage (12%). Good mountain-region digital access.,58.9,0,baseline
12,Maharashtra,MH,SHE-MH,West,124.7,56,80,54,74,58,56,60,64,42,58.1,56.7,1.4,false,false,annual,3.0,2025,Mann Deshi Bank (100K+ women account holders). MAVIM (Mahila Arthik Vikas Mahamandal). Swayam Siddha women's SHG program.,Strong urban women's enterprise. Mann Deshi pioneered rural women's banking. Mumbai has India's highest women's workforce participation. Moderate child marriage (21%).,58.1,0,baseline
13,Delhi,DL,SHE-DL,North,20.7,54,84,52,78,62,52,58,78,68,57.2,57.5,-0.3,false,false,annual,3.0,2025,Delhi Mahila Kosh microfinance. Mahila Panchayat scheme. One-Stop Crisis Centres for DV survivors.,High urban crime rate significantly pulls score down. High internet access (dgt 78) but high digital harassment. Strong period poverty advocacy in urban slums.,57.2,0,baseline
14,Gujarat,GJ,SHE-GJ,West,63.9,52,78,54,74,56,52,56,60,26,57.2,56.3,0.9,false,false,annual,3.0,2025,"SEWA (Self Employed Women's Association) — 3.78M members, 20 states. SEWA Bank (1974) — pioneered global microfinance.",SEWA founded 1972 — one of world's most influential women's labour organisations. Strong women's cooperative and enterprise sector. Moderate child marriage (22%).,57.2,0,baseline
