# SHEtoken Policy Recommendations v2 — 2025
# NOW COVERS: WEI all pillars, GPI, SVI, WEVI, WADI
# Marital rape, conflict SGBV, AI displacement, widow rights,
# period poverty, caste targeting, indigenous women, temple towns
# Every recommendation cites a proven real-world program
# (c) 2026 SHE Foundation
#
country,iso_code,tier,wei_score,priority,pillar,pillar_score,intervention,description,impact,cost,time_to_impact,proven_example,year
Iceland,ISL,1,93.4,1,economic,88.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Iceland,ISL,1,93.4,2,economic,88.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Iceland,ISL,1,93.4,3,economic,88.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Iceland,ISL,1,93.4,4,economic,88.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Iceland,ISL,1,93.4,5,economic,88.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Iceland,ISL,1,93.4,6,safety_justice,92.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Iceland,ISL,1,93.4,7,safety_justice,92.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
Iceland,ISL,1,93.4,8,safety_justice,92.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
Norway,NOR,1,92.4,1,economic,86.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Norway,NOR,1,92.4,2,economic,86.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Norway,NOR,1,92.4,3,economic,86.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Norway,NOR,1,92.4,4,economic,86.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Norway,NOR,1,92.4,5,economic,86.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Norway,NOR,1,92.4,6,safety_justice,91.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Norway,NOR,1,92.4,7,safety_justice,91.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
Norway,NOR,1,92.4,8,safety_justice,91.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
Finland,FIN,1,91.6,1,economic,85.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Finland,FIN,1,91.6,2,economic,85.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Finland,FIN,1,91.6,3,economic,85.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Finland,FIN,1,91.6,4,economic,85.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Finland,FIN,1,91.6,5,economic,85.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Finland,FIN,1,91.6,6,safety_justice,90.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Finland,FIN,1,91.6,7,safety_justice,90.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
Finland,FIN,1,91.6,8,safety_justice,90.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
Sweden,SWE,1,91.6,1,economic,87.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Sweden,SWE,1,91.6,2,economic,87.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Sweden,SWE,1,91.6,3,economic,87.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Sweden,SWE,1,91.6,4,economic,87.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Sweden,SWE,1,91.6,5,economic,87.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Sweden,SWE,1,91.6,6,safety_justice,89.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Sweden,SWE,1,91.6,7,safety_justice,89.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
Sweden,SWE,1,91.6,8,safety_justice,89.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
Denmark,DNK,1,90.2,1,economic,85.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Denmark,DNK,1,90.2,2,economic,85.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Denmark,DNK,1,90.2,3,economic,85.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Denmark,DNK,1,90.2,4,economic,85.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Denmark,DNK,1,90.2,5,economic,85.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Denmark,DNK,1,90.2,6,safety_justice,88.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Denmark,DNK,1,90.2,7,safety_justice,88.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
Denmark,DNK,1,90.2,8,safety_justice,88.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
New Zealand,NZL,1,88.8,1,economic,83.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
New Zealand,NZL,1,88.8,2,economic,83.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
New Zealand,NZL,1,88.8,3,economic,83.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
New Zealand,NZL,1,88.8,4,economic,83.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
New Zealand,NZL,1,88.8,5,economic,83.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
New Zealand,NZL,1,88.8,6,safety_justice,87.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
New Zealand,NZL,1,88.8,7,safety_justice,87.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
New Zealand,NZL,1,88.8,8,safety_justice,87.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
Netherlands,NLD,1,87.6,1,economic,82.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Netherlands,NLD,1,87.6,2,economic,82.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Netherlands,NLD,1,87.6,3,economic,82.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Netherlands,NLD,1,87.6,4,economic,82.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Netherlands,NLD,1,87.6,5,economic,82.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Netherlands,NLD,1,87.6,6,empowerment,84.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Netherlands,NLD,1,87.6,7,empowerment,84.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Netherlands,NLD,1,87.6,8,safety_justice,85.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Switzerland,CHE,1,87.2,1,economic,82.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Switzerland,CHE,1,87.2,2,economic,82.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Switzerland,CHE,1,87.2,3,economic,82.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Switzerland,CHE,1,87.2,4,economic,82.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Switzerland,CHE,1,87.2,5,economic,82.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Switzerland,CHE,1,87.2,6,empowerment,83.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Switzerland,CHE,1,87.2,7,empowerment,83.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Switzerland,CHE,1,87.2,8,safety_justice,84.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Canada,CAN,1,87.2,1,economic,80.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Canada,CAN,1,87.2,2,economic,80.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Canada,CAN,1,87.2,3,economic,80.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Canada,CAN,1,87.2,4,economic,80.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Canada,CAN,1,87.2,5,economic,80.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
