# SHEtoken WEI City Scores v1.0 — 2025
# 111 world cities scored
# Simple average WEI across all cities: 61.4
# Formula: WEI = (Empowerment x 0.15) + (Education x 0.12)
#         + (Economic x 0.12) + (Health x 0.12)
#         + (Bodily Autonomy x 0.15) + (Safety & Justice x 0.14)
#         + (Dignity & Welfare x 0.10) + (Digital & Social x 0.10)
#         - (Violence Penalty x 0.10)
# Sources: NCRB, FBI UCR, UN Habitat, SafeCity, CDC PLACES,
#          Numbeo, Thomson Reuters, Economist Safe Cities Index
# Generated: May 2026 | shetoken.org
#
rank,city,slug,ticker,country_iso,state_code,region,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,data_quality,year,wei_version,verified,notes
1,Stockholm,stockholm,SHE-SWE-STOCKH,SWE,,Europe,1.0,92,98,86,96,94,90,90,94,8,91.7,good,2025,1.0,false,World's highest gender equality. Nordic model.
2,Oslo,oslo,SHE-NOR-OSLO,NOR,,Europe,0.7,92,98,86,96,94,90,90,94,8,91.7,good,2025,1.0,false,Top global city for women's safety and rights.
3,Helsinki,helsinki,SHE-FIN-HELSIN,FIN,,Europe,0.7,92,98,84,96,94,88,88,92,8,90.8,good,2025,1.0,false,Finland top global performer.
4,Gothenburg,gothenburg,SHE-SWE-GOTHEN,SWE,,Europe,1.0,90,98,84,96,92,88,88,92,8,90.2,good,2025,1.0,false,Sweden's second city. Same strong national protections.
5,Copenhagen,copenhagen,SHE-DNK-COPENH,DNK,,Europe,0.8,88,96,84,96,92,88,88,92,8,89.6,good,2025,1.0,false,Denmark capital. Top global safety for women.
6,Auckland,auckland,SHE-NZL-AUCKLA,NZL,,Oceania,1.7,86,96,80,94,90,86,84,88,14,86.6,good,2025,1.0,false,NZ strong women's rights. First country to give women vote 1893.
7,Berlin,berlin,SHE-DEU-BERLIN,DEU,,Europe,3.8,84,96,80,94,88,84,84,88,12,86.0,good,2025,1.0,false,Strong gender equality laws. High female political representation.
8,Munich,munich,SHE-DEU-MUNICH,DEU,,Europe,1.5,82,96,80,94,88,82,82,86,10,85.2,good,2025,1.0,false,High income city. Strong social protections.
9,Boston,boston,SHE-USA-BOSTON,USA,MA,N. America,0.7,86,96,78,86,88,82,80,90,12,84.6,good,2025,1.0,false,Massachusetts top-tier bodily autonomy. Strong legal framework.
10,Melbourne,melbourne,SHE-AUS-MELBOU,AUS,,Oceania,5.1,82,96,76,94,88,82,82,88,16,84.3,good,2025,1.0,false,Feminist city policy. Royal Commission into Family Violence 2015.
11,Sydney,sydney,SHE-AUS-SYDNEY,AUS,,Oceania,5.3,82,96,76,94,88,82,82,88,18,84.1,good,2025,1.0,false,Strong protections. Indigenous women face compounded disadvantage.
12,Hamburg,hamburg,SHE-DEU-HAMBUR,DEU,,Europe,1.8,80,96,78,92,86,80,80,86,12,83.4,good,2025,1.0,false,Major port city. Strong women's labour rights.
13,Toronto,toronto,SHE-CAN-TORONT,CAN,,N. America,6.3,82,96,74,92,88,80,78,88,16,83.1,good,2025,1.0,false,Highly diverse. Strong protections. Indigenous women MMIWG crisis.
14,Vancouver,vancouver,SHE-CAN-VANCOU,CAN,,N. America,2.6,82,96,74,92,88,80,78,88,16,83.1,good,2025,1.0,false,BC strong reproductive rights. High cost of living dignity concern.
15,New York City,new-york,SHE-USA-NEW-YO,USA,NY,N. America,8.3,82,96,76,84,88,78,76,90,18,81.9,good,2025,1.0,false,Strong reproductive rights laws. High cost of living affects dignity. Good legal aid access.
