# SHEtoken Women's AI Displacement Index (WADI) — 2025
# WADI: higher score = more vulnerable to AI/automation displacement
# Average % of female workforce in high-risk sectors: 48.9%
#
# CRITICAL CASES:
# Cambodia: 90% of garment workers female, 78% in high-risk sectors
# Bangladesh: 4M women garment workers face near-total automation by 2030
# Japan: 75% of at-risk admin jobs held by women, lowest AI female entry
# Philippines: 1.3M women in call centres — 79% automation risk
# India: 230M+ women in high-risk jobs across sectors
#
# Sources: McKinsey WFF 2021, WEF FoJ 2023, ILO WESO 2024,
#          OECD Employment Outlook 2023, GSMA Mobile Gender Gap 2023
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,wadi_score,pct_female_workforce_in_high_risk_sectors,digital_skills_gap_score,reskilling_access_score,care_economy_wage_ratio,pct_women_in_ai_tech,remote_work_access_pct,unemployment_coverage_pct,gig_worker_pct,ai_policy_gender_inclusion,notes,year
1,Cambodia,KHM,SE Asia,86.3,78,24,10,24,2,8,2,88,1,"MOST EXPOSED: 90% of garment workers are women. H&M, Zara factories automating. 700,000 jobs at risk by 2030. Entire female economy depends on one high-risk sector.",2025
2,Bangladesh,BGD,South Asia,82.7,72,28,12,28,4,8,4,82,1,CRITICAL: 4M women garment workers — highest global automation risk. 80% of export garment workforce is female. Automation of sewing = 4M job losses projected by 2030. No reskilling infrastructure.,2025
3,Ethiopia,ETH,Africa,82.4,62,22,10,22,2,8,2,86,1,"Hawassa Industrial Park: 60,000 women garment workers. Chinese-owned factories automating fastest. Zero reskilling.",2025
4,Pakistan,PAK,South Asia,77.5,54,32,14,28,4,8,4,84,1,"Textile sector (70% female) — automation of spinning, weaving. Low digital literacy. No AI gender policy.",2025
5,Nigeria,NGA,Africa,74.3,46,32,18,28,4,12,4,82,1,Market trader women — platform competition from Jumia/Konga. Fintech disrupting women's savings cooperatives (ajo/esusu).,2025
6,Indonesia,IDN,SE Asia,72.6,60,44,24,32,6,18,8,76,2,"Batik, garment, tobacco processing — all high automation risk. Ojek (ride-share) gig workers — women excluded by safety concerns.",2025
7,Vietnam,VNM,SE Asia,71.2,64,48,28,38,8,22,8,72,2,"2.8M women in electronics/garment assembly. Samsung, Nike automation. Digital economy growing but women capture only 12% of tech jobs.",2025
8,Ghana,GHA,Africa,70.1,42,38,22,36,4,14,6,74,2,Market women — platform competition. Cocoa processing automation.,2025
9,India,IND,South Asia,69.8,58,42,22,30,12,18,12,68,3,"230M women in high-risk jobs: garment (8M), data entry (12M), domestic work (30M+). Digital skills gap severe. Only 3% female AI workforce. BPO sector (call centres) employs 2M women — 70% automation risk.",2025
10,Sri Lanka,LKA,South Asia,69.8,60,48,28,38,6,22,8,64,2,Tea plucking (women) — robotisation beginning. Garment sector.,2025
11,Kenya,KEN,Africa,66.3,38,44,28,38,6,18,6,72,2,M-Pesa disrupted women money handlers. Flower export sector at risk. Growing digital economy but women capture small share.,2025
12,Philippines,PHL,SE Asia,64.9,62,52,38,42,12,32,14,64,3,"1.3M women in BPO (call centres) — 75% female, 79% automation risk. Remittance-dependent economy: OFW (overseas workers) also exposed.",2025
13,Rwanda,RWA,Africa,62.9,36,48,32,34,6,18,8,62,3,Government digital inclusion programs for women. Tech hub growing.,2025
14,Mexico,MEX,N. America,61.2,52,58,36,44,10,28,22,58,3,"Maquiladora sector (export manufacturing) — 60% female, high automation. NAFTA reshoring + AI = double pressure. No federal retraining.",2025
15,South Africa,ZAF,Africa,59.1,44,52,32,48,8,28,32,48,3,Domestic work (1.4M women) — no labour protections. Mining sector automation minimal female impact (few women in mining).,2025
16,Turkey,TUR,Europe/Asia,54.8,46,62,38,52,10,32,42,42,3,Textile sector (85% female) — highest automation risk in manufacturing.,2025
17,Brazil,BRA,S. America,53.4,48,62,42,52,14,38,38,44,4,"Domestic workers (5.7M women) — informal, no safety net. Afro-Brazilian women most exposed. Gig platform workers unprotected.",2025
18,China,CHN,East Asia,51.5,54,68,38,60,18,36,52,38,5,Foxconn automation displacing 1M+ women. Wenzhou shoe factories. Strong government retraining programs but rural women excluded.,2025
19,Japan,JPN,East Asia,41.8,52,80,55,74,18,44,82,22,4,75% of at-risk admin jobs held by women. Lowest AI/tech female participation. 'Shufu' system traps women in part-time.,2025
20,South Korea,KOR,East Asia,41.3,48,78,52,72,20,48,78,24,4,High export manufacturing exposure. Women concentrated in textiles.,2025
21,USA,USA,N. America,35.3,44,86,62,68,28,64,58,18,5,"No federal reskilling mandate. Garment, admin, call centre exposure high. Gig economy vulnerable.",2025
22,UK,GBR,Europe,31.9,42,88,68,72,24,62,76,14,6,2.4M women in admin at risk. Universal Credit inadequate. Taylor Review gaps.,2025
23,Australia,AUS,Oceania,31.4,40,88,68,70,26,62,72,14,6,Strong protections but 1.8M women in high-risk roles.,2025
24,Germany,DEU,Europe,30.1,38,88,70,78,22,60,80,12,7,Manufacturing automation. 4 million women in admin jobs at risk. Kurzarbeit protects.,2025
25,Canada,CAN,N. America,28.5,38,90,72,72,28,64,74,12,7,Strong reskilling programs. Indigenous women most exposed.,2025
26,Sweden,SWE,Europe,23.3,32,92,76,82,30,68,82,10,9,Automation commission includes gender. High digital literacy.,2025
27,Norway,NOR,Europe,22.0,30,93,78,84,32,70,84,9,8,Oil sector automation displacing women in admin. Strong retraining programs.,2025
28,Iceland,ISL,Europe,19.4,28,94,80,82,38,72,85,8,8,Strong social protection. AI strategy includes gender clause. Low garment sector.,2025
