# SHEtoken — US Trade Exposure vs Women's Rights Scores 2025
# Shows how much US business flows to AVOID/EMBARGO countries
# and where it could be redirected to better-scoring countries.
# Trade figures: USD billions, 2023 estimates
# Sources: US Census Bureau, BEA, USTR, Gartner, ILO
# (c) 2026 SHE Foundation
#
country,iso_code,wrbcs_rating,us_goods_imports_bn,us_services_imports_bn,us_fdi_stock_bn,total_trade_exposure_bn,main_sectors,female_workforce_pct,women_at_stake_est_millions,redirect_to_countries,redirect_action,year
Iceland,ISL,PREFERRED,0.4,0.3,0.8,0.7,"Fish, aluminum, creative services",30,0.0,,N/A — already best practice,2025
Norway,NOR,PREFERRED,4.2,2.1,12.4,6.3,"Oil, seafood, maritime services",32,0.0,,N/A — already best practice,2025
Sweden,SWE,PREFERRED,6.8,3.2,18.6,10.0,"Machinery, pharma, tech, Volvo/Ikea",34,0.1,,N/A — already best practice,2025
Germany,DEU,PREFERRED,158.4,42.1,142.8,200.5,"Vehicles, machinery, pharma, chemicals",36,1.4,,N/A — already best practice,2025
Canada,CAN,PREFERRED,421.1,68.4,422.6,489.5,"Energy, vehicles, lumber, financial services",38,3.7,,N/A — already best practice,2025
Australia,AUS,PREFERRED,17.2,14.8,52.4,32.0,"Mining, agriculture, education services",36,0.2,,N/A — already best practice,2025
UK,GBR,ACCEPTABLE,68.4,86.2,750.8,154.6,"Finance, pharma, aerospace, creative",38,1.2,,N/A — acceptable,2025
Japan,JPN,ACCEPTABLE,148.6,28.4,142.2,177.0,"Vehicles, electronics, machinery",28,1.0,,N/A — acceptable,2025
South Korea,KOR,ACCEPTABLE,70.8,14.2,42.8,85.0,"Electronics, vehicles, steel",26,0.4,,N/A — acceptable,2025
Brazil,BRA,ACCEPTABLE,36.2,8.4,72.4,44.6,"Agri (soy, coffee, beef), iron ore, aircraft",42,0.4,,N/A — acceptable with standard due diligence,2025
Mexico,MEX,CAUTION,475.6,28.4,98.4,504.0,"Vehicles, electronics, agriculture, maquiladora",62,6.2,,USMCA partner — cannot redirect. Require WRBCS compliance clauses in all supplier contracts. Fund Cimac + Red Mesa.,2025
China,CHN,CAUTION,427.2,18.4,118.4,445.6,"Electronics, machinery, garments, furniture, toys",54,4.8,"Vietnam, Malaysia, Thailand, India, Morocco","Diversify electronics to Vietnam/Malaysia. Garments to Bangladesh alternative — but note Bangladesh is AVOID, redirect garments to Morocco, Peru, Turkey instead.",2025
India,IND,CAUTION,84.2,42.8,44.2,127.0,"IT services, pharma, garments, gems, steel",62,1.6,,IT outsourcing — India CAUTION. Require suppliers to publish female workforce data. Fund SEWA + Majlis. Consider Philippines or Eastern Europe for some IT.,2025
