# SHEtoken Women's Rights Business Compliance — USA States 2025
# Composite = Bodily Autonomy(45%) + WEI(35%) + Pay Equity Law(20%)
# Post-Dobbs analysis: which US states are safe for female employees?
# (c) 2026 SHE Foundation
#
rank,state,state_code,composite_score,rating,rating_headline,wei_score,bodily_autonomy_score,maternal_mortality_tier,pay_equity_law,key_risk,recommendation,required_actions,year
1,Vermont,VT,91.7,PREFERRED,Actively prioritise for outsourcing and investment,84,94,1,strong,No significant risks,"PREFERRED for remote hiring, HQ, events",Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
2,California,CA,91.0,PREFERRED,Actively prioritise for outsourcing and investment,82,94,1,strong,High cost of living affects dignity score,PREFERRED — strongest reproductive protections post-Dobbs,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
3,Massachusetts,MA,90.7,PREFERRED,Actively prioritise for outsourcing and investment,85,91,1,strong,No significant risks,PREFERRED — Boston/Cambridge top choice,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
4,Washington,WA,88.8,PREFERRED,Actively prioritise for outsourcing and investment,81,90,1,strong,No significant risks,PREFERRED — Seattle tech hub,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
5,Oregon,OR,88.5,PREFERRED,Actively prioritise for outsourcing and investment,80,90,1,strong,No significant risks,PREFERRED,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
6,New York,NY,87.6,PREFERRED,Actively prioritise for outsourcing and investment,80,88,2,strong,High cost of living,ACCEPTABLE — NYC financial centre,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
7,Connecticut,CT,86.4,PREFERRED,Actively prioritise for outsourcing and investment,78,87,2,strong,No significant risks,ACCEPTABLE,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
8,Colorado,CO,86.3,PREFERRED,Actively prioritise for outsourcing and investment,79,86,1,strong,No significant risks,PREFERRED — Denver growing hub,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
9,New Jersey,NJ,84.8,PREFERRED,Actively prioritise for outsourcing and investment,76,85,2,strong,No significant risks,ACCEPTABLE,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
10,Minnesota,MN,84.2,PREFERRED,Actively prioritise for outsourcing and investment,78,82,1,strong,No significant risks,PREFERRED,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
11,Maryland,MD,82.7,PREFERRED,Actively prioritise for outsourcing and investment,75,81,2,strong,No significant risks,ACCEPTABLE — DC metro,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
12,Illinois,IL,82.6,PREFERRED,Actively prioritise for outsourcing and investment,76,80,2,strong,Chicago south side safety concerns,ACCEPTABLE — Chicago major hub,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
13,Michigan,MI,81.9,PREFERRED,Actively prioritise for outsourcing and investment,74,80,2,strong,Constitutional amendment 2022,ACCEPTABLE — improving trajectory,Standard supplier code of conduct | Annual WEI monitoring | Publish in ESG report as positive example,2025
14,Nevada,NV,72.2,ACCEPTABLE,Acceptable with standard due diligence,70,77,2,moderate,Tourism sector exploitation risks,ACCEPTABLE,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,2025
15,Virginia,VA,71.0,ACCEPTABLE,Acceptable with standard due diligence,72,73,2,moderate,Access to reproductive care limited in rural areas,ACCEPTABLE — Northern Virginia tech corridor,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,2025
16,Pennsylvania,PA,70.7,ACCEPTABLE,Acceptable with standard due diligence,71,73,2,moderate,Rural access gaps,ACCEPTABLE — Philadelphia/Pittsburgh,Supplier code of conduct covering gender equality | Biennial audit of female workforce conditions | Monitor WEI signal alerts,2025
17,Arizona,AZ,50.5,CAUTION,Proceed with enhanced obligations,64,49,3,weak,Unstable legal environment. 1864 ban briefly reinstated 2024.,CAUTION — legal uncertainty. Monitor quarterly.,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),2025
18,Florida,FL,48.0,CAUTION,Proceed with enhanced obligations,62,45,3,weak,6-week ban. High maternal mortality increase post-Dobbs.,CAUTION — require enhanced employee benefits: out-of-state reproductive healthcare coverage + travel support,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),2025
19,Wisconsin,WI,45.8,CAUTION,Proceed with enhanced obligations,61,41,3,weak,1849 law partially in effect,CAUTION,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),2025
